"geneSymbol" "logFC.ALS Vs Healthy_DE" "P.Value.ALS Vs Healthy_DE"
"COL4A2_SIG" "COL4A2" 1.14377757768119 0.000466962680184125
"VENTX_TF" "VENTX" -1.79612745198707 0.00137885440378476
"COL4A1_SIG" "COL4A1" 1.60163002351707 0.00140421201733819
"ELF5_TF" "ELF5" 1.33663859371045 0.00264284125096131
"IRX2_TF" "IRX2" -1.47750847860451 0.00337133155840106
"HGF_SIG" "HGF" 1.20974404943419 0.00455768752113678
"CD44_SIG" "CD44" 1.66112336118359 0.00554743501839938
"POU5F1_TF" "POU5F1" 1.18344312569335 0.00612535955701081
"ESR1_TF" "ESR1" 1.39257805001032 0.00641107728940655
"ZSCAN23_TF" "ZSCAN23" 1.47349926387653 0.00849045476715701
"OSMR_SIG" "OSMR" 1.16383424861397 0.0108152172558671
"ADAMTS9_SIG" "ADAMTS9" 1.62396002052256 0.0128040341128227
"IL1R1_SIG" "IL1R1" 1.2292029933992 0.0136501402172084
"ITGB3_SIG" "ITGB3" 1.57537419076619 0.0145801396777242
"IRF6_TF" "IRF6" 1.34160781174978 0.0169059556894677
"CRX_TF" "CRX" 1.04912058439491 0.0190908282999292
"PLCXD2_SIG" "PLCXD2" 1.2059655727579 0.021145115607857
"EPHA2_SIG" "EPHA2" 1.11120465361713 0.0219450615366094
"SIX3_TF" "SIX3" -1.4287333934338 0.0228903182289094
"NEUROD4_TF" "NEUROD4" 1.32730833608189 0.0269275119121925
"SCML4_TF" "SCML4" 1.04384554266071 0.0337532763628623
"GPR52_SIG" "GPR52" 1.24579964285478 0.0360474570727356
"FGF10_SIG" "FGF10" 1.34635345884535 0.0388759535571597
"MYOCD_TF" "MYOCD" 1.15574288860714 0.0408306917041273
"TNFRSF11B_SIG" "TNFRSF11B" 1.00604380062478 0.0413347145502232
"KLF4_TF" "KLF4" 1.05679321676467 0.0444225870026063
"TBX5_TF" "TBX5" -1.47950923222131 0.0458940360161844
"CHI3L1_SIG" "CHI3L1" 1.11992830805046 0.0489239384479882
